id_sucursal,mes,score_adopcion_sistema,errores_operativos_mensuales
SUC-019,3,83.63,5
SUC-019,4,100.0,2
SUC-019,5,100.0,1
SUC-019,6,85.75,0
SUC-019,7,82.54,1
SUC-019,8,100.0,0
SUC-019,9,86.23,3
SUC-019,10,85.44,6
SUC-019,11,78.77,4
SUC-019,12,77.58,1
SUC-020,1,78.88,4
SUC-020,2,80.71,2
SUC-020,3,70.94,5
SUC-020,4,69.95,7
SUC-020,5,85.82,0
SUC-020,6,81.91,2
SUC-020,7,88.19,5
SUC-020,8,66.25,6
SUC-020,9,83.4,4
SUC-020,10,87.13,1
SUC-020,11,81.81,2
SUC-020,12,95.76,0
SUC-021,1,49.01,10
SUC-021,2,22.92,12
SUC-021,3,11.97,14
SUC-021,4,32.67,14
SUC-021,5,14.19,18
SUC-021,6,25.17,15
SUC-021,7,46.12,12
SUC-021,8,27.31,12
SUC-021,9,8.48,16
SUC-021,10,27.89,12
SUC-021,11,28.69,14
SUC-021,12,27.75,13
SUC-022,1,86.69,3
SUC-022,2,74.1,8
SUC-022,3,84.01,3
SUC-022,4,92.08,2
SUC-022,5,94.53,1
SUC-022,6,78.88,4
SUC-022,7,73.56,5
SUC-022,8,84.67,2
SUC-022,9,83.71,0
SUC-022,10,79.51,4
SUC-022,11,86.6,0
SUC-022,12,97.66,0
SUC-023,1,39.69,12
SUC-023,2,23.54,18
SUC-023,3,18.06,18
SUC-023,4,40.01,10
SUC-023,5,43.92,10
SUC-023,6,32.89,13
SUC-023,7,28.66,15
SUC-023,8,37.93,8
SUC-023,9,43.04,8
SUC-023,10,40.33,14
SUC-023,11,19.09,15
SUC-023,12,18.94,15
SUC-024,1,81.92,5
SUC-024,2,98.1,3
SUC-024,3,79.38,3
SUC-024,4,68.17,4
SUC-024,5,94.65,4
SUC-024,6,72.66,4
SUC-024,7,84.74,3
SUC-024,8,76.9,5
SUC-024,9,80.26,3
SUC-024,10,90.46,1
SUC-024,11,80.64,3
SUC-024,12,84.12,2
SUC-025,1,56.12,11
SUC-025,2,68.41,5
SUC-025,3,70.45,5
SUC-025,4,77.6,5
SUC-025,5,58.39,9
SUC-025,6,36.44,10
SUC-025,7,42.09,11
SUC-025,8,85.99,7
SUC-025,9,69.57,7
SUC-025,10,32.98,12
SUC-025,11,48.18,9
SUC-025,12,57.48,7
SUC-026,1,65.21,8
SUC-026,2,74.27,5
SUC-026,3,100.0,0
SUC-026,4,59.7,7
SUC-026,5,96.01,4
SUC-026,6,72.7,6
SUC-026,7,80.35,3
SUC-026,8,100.0,0
SUC-026,9,87.54,3
SUC-026,10,95.86,1
SUC-026,11,88.08,1
SUC-026,12,87.69,1
SUC-027,1,91.22,1
SUC-027,2,88.77,2
SUC-027,3,96.26,0
SUC-027,4,67.27,9
SUC-027,5,75.94,3
SUC-027,6,79.04,6
SUC-027,7,63.64,13
SUC-027,8,95.56,1
SUC-027,9,84.45,3
SUC-027,10,90.21,3
SUC-027,11,90.56,2
SUC-027,12,83.03,3
SUC-028,1,83.05,5
SUC-028,2,90.94,0
SUC-028,3,91.56,2
SUC-028,4,84.81,2
SUC-028,5,96.24,2
SUC-028,6,77.27,5
SUC-028,7,75.28,2
SUC-028,8,78.73,5
SUC-028,9,94.53,2
SUC-028,10,92.25,2
SUC-028,11,78.59,5
SUC-028,12,93.0,2
SUC-029,1,77.83,5
SUC-029,2,65.27,9
SUC-029,3,59.6,6
SUC-029,4,57.55,6
SUC-029,5,49.87,9
SUC-029,6,48.11,9
SUC-029,7,31.6,14
SUC-029,8,60.02,6
SUC-029,9,69.89,7
SUC-029,10,35.89,11
SUC-029,11,48.46,8
SUC-029,12,72.44,5
SUC-030,1,56.03,4
SUC-030,2,69.53,3
SUC-030,3,60.9,8
SUC-030,4,80.41,1
SUC-030,5,14.71,17
SUC-030,6,87.01,5
SUC-030,7,63.14,6
SUC-030,8,72.11,3
SUC-030,9,67.15,7
SUC-030,10,75.9,10
SUC-030,11,65.89,5
SUC-030,12,59.62,4
SUC-031,1,23.05,14
SUC-031,2,24.76,15
SUC-031,3,21.78,17
SUC-031,4,30.0,13
SUC-031,5,26.72,14
SUC-031,6,38.25,10
SUC-031,7,23.42,14
SUC-031,8,16.54,15
SUC-031,9,25.24,16
SUC-031,10,32.63,13
SUC-031,11,38.51,12
SUC-031,12,33.9,13
SUC-032,1,63.98,6
SUC-032,2,23.42,15
SUC-032,3,81.34,5
SUC-032,4,74.48,7
SUC-032,5,61.33,8
SUC-032,6,50.74,9
SUC-032,7,69.24,8
SUC-032,8,57.91,7
SUC-032,9,60.01,9
SUC-032,10,38.34,7
SUC-032,11,51.74,7
SUC-032,12,52.38,9
SUC-033,1,25.47,17
SUC-033,2,33.27,13
SUC-033,3,36.22,10
SUC-033,4,40.39,11
SUC-033,5,36.7,10
SUC-033,6,14.46,18
SUC-033,7,33.76,11
SUC-033,8,21.3,17
SUC-033,9,18.11,19
SUC-033,10,20.99,17
SUC-033,11,26.71,15
SUC-033,12,24.56,14
SUC-034,1,60.61,5
SUC-034,2,71.11,4
SUC-034,3,56.57,6
SUC-034,4,21.56,15
SUC-034,5,96.19,2
SUC-034,6,59.71,7
SUC-034,7,60.34,9
SUC-034,8,42.29,13
SUC-034,9,70.73,7
SUC-034,10,66.58,6
SUC-034,11,70.09,7
SUC-034,12,54.69,7
SUC-035,1,61.53,10
SUC-035,2,41.41,8
SUC-035,3,62.47,7
SUC-035,4,62.6,7
SUC-035,5,56.65,11
SUC-035,6,35.99,11
SUC-035,7,58.45,5
SUC-035,8,57.36,11
SUC-035,9,60.31,8
SUC-035,10,41.1,10
SUC-035,11,54.37,8
SUC-035,12,79.22,5
SUC-036,1,73.89,5
SUC-036,2,89.98,4
SUC-036,3,100.0,0
SUC-036,4,76.89,2
SUC-036,5,82.66,4
SUC-036,6,94.87,0
SUC-036,7,81.8,3
SUC-036,8,76.65,8
SUC-036,9,68.92,6
SUC-036,10,100.0,0
SUC-036,11,83.1,2
SUC-036,12,83.2,6
SUC-037,1,26.82,17
SUC-037,2,38.64,11
SUC-037,3,53.56,10
SUC-037,4,36.03,13
SUC-037,5,90.36,0
SUC-037,6,62.85,6
SUC-037,7,66.39,6
SUC-037,8,50.38,10
SUC-037,9,87.07,2
SUC-037,10,70.8,3
SUC-037,11,45.65,11
SUC-037,12,82.26,4
SUC-038,1,81.87,3
SUC-038,2,72.5,6
SUC-038,3,93.82,0
SUC-038,4,80.3,4
SUC-038,5,80.63,3
SUC-038,6,100.0,0
SUC-038,7,81.42,2
SUC-038,8,92.44,1
SUC-038,9,78.51,6
SUC-038,10,99.2,0
SUC-038,11,66.33,8
SUC-038,12,78.15,5
SUC-039,1,10.3,19
SUC-039,2,17.89,17
SUC-039,3,30.14,12
SUC-039,4,25.93,16
SUC-039,5,31.06,14
SUC-039,6,49.76,6
SUC-039,7,46.17,10
SUC-039,8,21.01,13
SUC-039,9,28.11,16
SUC-039,10,28.72,17
SUC-039,11,15.49,16
SUC-039,12,17.48,17
SUC-040,1,93.87,0
SUC-040,2,58.96,8
SUC-040,3,89.37,2
SUC-040,4,97.36,0
SUC-040,5,91.8,4
SUC-040,6,67.21,7
SUC-040,7,79.96,3
SUC-040,8,88.48,1
SUC-040,9,78.24,4
SUC-040,10,74.13,3
SUC-040,11,91.79,0
SUC-040,12,91.66,2
SUC-041,1,67.74,5
SUC-041,2,96.94,0
SUC-041,3,80.36,4
SUC-041,4,92.83,0
SUC-041,5,79.02,7
SUC-041,6,100.0,1
SUC-041,7,85.85,1
SUC-041,8,76.7,5
SUC-041,9,89.18,4
SUC-041,10,91.5,0
SUC-041,11,95.52,0
SUC-041,12,81.16,4
SUC-042,1,89.94,8
SUC-042,2,69.1,5
SUC-042,3,68.02,8
SUC-042,4,55.19,12
SUC-042,5,63.45,8
SUC-042,6,69.99,6
SUC-042,7,72.58,4
SUC-042,8,51.63,7
SUC-042,9,66.59,8
SUC-042,10,66.87,9
SUC-042,11,59.92,9
SUC-042,12,43.62,10
SUC-043,1,70.43,7
SUC-043,2,55.59,8
SUC-043,3,37.23,11
SUC-043,4,73.36,6
SUC-043,5,67.51,6
SUC-043,6,60.11,6
SUC-043,7,70.48,6
SUC-043,8,67.38,5
SUC-043,9,27.7,16
SUC-043,10,52.82,7
SUC-043,11,70.4,5
SUC-043,12,75.9,6
SUC-044,1,70.25,3
SUC-044,2,78.18,4
SUC-044,3,54.46,9
SUC-044,4,33.36,14
SUC-044,5,44.56,8
SUC-044,6,37.16,14
SUC-044,7,50.56,12
SUC-044,8,51.96,6
SUC-044,9,43.25,13
SUC-044,10,57.66,7
SUC-044,11,62.4,8
SUC-044,12,76.76,7
SUC-045,1,26.4,12
SUC-045,2,25.87,15
SUC-045,3,20.36,14
SUC-045,4,33.44,13
SUC-045,5,30.33,12
SUC-045,6,27.7,12
SUC-045,7,38.9,14
SUC-045,8,11.54,15
SUC-045,9,15.03,15
SUC-045,10,29.17,11
SUC-045,11,20.78,13
SUC-045,12,32.07,13
SUC-046,1,49.17,10
SUC-046,2,51.8,9
SUC-046,3,85.1,5
SUC-046,4,40.51,13
SUC-046,5,72.17,3
SUC-046,6,72.28,8
SUC-046,7,43.16,9
SUC-046,8,75.26,5
SUC-046,9,68.27,7
SUC-046,10,65.86,4
SUC-046,11,75.71,7
SUC-046,12,56.56,8
SUC-047,1,37.03,13
SUC-047,2,68.58,6
SUC-047,3,76.87,3
SUC-047,4,68.47,4
SUC-047,5,59.65,7
SUC-047,6,63.38,6
SUC-047,7,58.03,10
SUC-047,8,53.45,6
SUC-047,9,86.24,5
SUC-047,10,40.62,13
SUC-047,11,52.46,10
SUC-047,12,64.41,6
SUC-048,1,22.16,14
SUC-048,2,20.84,14
SUC-048,3,29.33,12
SUC-048,4,36.82,15
SUC-048,5,24.2,15
SUC-048,6,35.0,13
SUC-048,7,30.76,15
SUC-048,8,34.82,10
SUC-048,9,38.69,14
SUC-048,10,22.37,15
SUC-048,11,36.83,12
SUC-048,12,40.73,16
SUC-049,1,48.21,7
SUC-049,2,64.56,8
SUC-049,3,56.54,11
SUC-049,4,39.92,13
SUC-049,5,50.91,13
SUC-049,6,89.89,0
SUC-049,7,51.76,11
SUC-049,8,54.19,9
SUC-049,9,60.38,4
SUC-049,10,59.79,6
SUC-049,11,52.6,12
SUC-049,12,41.15,13
SUC-050,1,27.21,13
SUC-050,2,37.9,13
SUC-050,3,35.71,14
SUC-050,4,26.69,13
SUC-050,5,19.15,14
SUC-050,6,59.49,10
SUC-050,7,16.49,14
SUC-050,8,34.82,14
SUC-050,9,35.49,12
SUC-050,10,28.75,14
SUC-050,11,30.86,9
SUC-050,12,27.7,12
