id_factura,id_cliente,id_sucursal,fecha,monto_lista,descuento_aplicado,monto_final,fuga_rentabilidad
FAC-021413,CLT-0367,SUC-024,2023-01-01,2317.56,241.95,2075.61,241.95
FAC-048630,CLT-0440,SUC-042,2023-01-01,4608.68,351.61,4257.070000000001,351.61
FAC-020194,CLT-0360,SUC-047,2023-01-01,377.27,90.54,286.72999999999996,90.54
FAC-048029,CLT-0446,SUC-012,2023-01-01,3607.55,553.72,3053.83,553.72
FAC-028152,CLT-0407,SUC-015,2023-01-01,841.59,134.94,706.6500000000001,134.94
FAC-036863,CLT-0047,SUC-009,2023-01-01,5300.15,1671.01,3629.1399999999994,1671.01
FAC-016737,CLT-0019,SUC-044,2023-01-01,1095.8,129.09,966.7099999999999,129.09
FAC-006912,CLT-0358,SUC-031,2023-01-01,6546.9,1910.76,4636.139999999999,1910.76
FAC-008738,CLT-0284,SUC-026,2023-01-01,5155.95,818.14,4337.8099999999995,818.14
FAC-048633,CLT-0391,SUC-024,2023-01-01,38497.85,3615.7,34882.15,3615.7
FAC-049766,CLT-0398,SUC-011,2023-01-01,755.79,122.0,633.79,122.0
FAC-012613,CLT-0383,SUC-036,2023-01-01,3187.12,358.38,2828.74,358.38
FAC-013467,CLT-0464,SUC-006,2023-01-01,11181.92,1470.83,9711.09,1470.83
FAC-046519,CLT-0340,SUC-023,2023-01-01,46212.74,11917.46,34295.28,11917.46
FAC-017730,CLT-0352,SUC-015,2023-01-01,4036.54,674.23,3362.31,674.23
FAC-046042,CLT-0320,SUC-003,2023-01-01,7051.32,1474.32,5577.0,1474.32
FAC-001646,CLT-0045,SUC-010,2023-01-01,21102.61,1613.31,19489.3,1613.31
FAC-002067,CLT-0161,SUC-035,2023-01-01,1045.47,181.77,863.7,181.77
FAC-017781,CLT-0463,SUC-023,2023-01-01,1237.55,318.2,919.3499999999999,318.2
FAC-002015,CLT-0193,SUC-035,2023-01-01,10451.82,1714.97,8736.85,1714.97
FAC-035561,CLT-0315,SUC-029,2023-01-01,5931.45,519.62,5411.83,519.62
FAC-003966,CLT-0185,SUC-050,2023-01-01,2689.55,742.64,1946.9100000000003,742.64
FAC-016239,CLT-0149,SUC-009,2023-01-01,1471.25,463.75,1007.5,463.75
FAC-027777,CLT-0207,SUC-005,2023-01-01,3582.47,1010.57,2571.8999999999996,1010.57
FAC-009419,CLT-0137,SUC-026,2023-01-01,34987.41,5242.59,29744.820000000003,5242.59
FAC-018916,CLT-0280,SUC-039,2023-01-01,1403.25,483.7,919.55,483.7
FAC-006253,CLT-0485,SUC-049,2023-01-01,6235.91,1213.69,5022.219999999999,1213.69
FAC-020562,CLT-0230,SUC-003,2023-01-01,3682.88,680.21,3002.67,680.21
FAC-024419,CLT-0439,SUC-001,2023-01-01,333.93,89.2,244.73000000000002,89.2
FAC-009611,CLT-0453,SUC-050,2023-01-01,21159.84,6431.85,14727.99,6431.85
FAC-035542,CLT-0259,SUC-018,2023-01-01,258.25,34.06,224.19,34.06
FAC-006050,CLT-0111,SUC-033,2023-01-01,1068.99,322.12,746.87,322.12
FAC-040050,CLT-0176,SUC-017,2023-01-01,2317.14,145.15,2171.99,145.15
FAC-002129,CLT-0025,SUC-008,2023-01-01,3054.84,768.64,2286.2000000000003,768.64
FAC-010112,CLT-0433,SUC-035,2023-01-01,8589.35,1410.82,7178.530000000001,1410.82
FAC-001486,CLT-0314,SUC-021,2023-01-01,15327.19,3066.36,12260.83,3066.36
FAC-001493,CLT-0093,SUC-017,2023-01-01,1285.56,68.59,1216.97,68.59
FAC-044642,CLT-0162,SUC-029,2023-01-01,15996.9,1567.23,14429.67,1567.23
FAC-039776,CLT-0112,SUC-024,2023-01-01,3730.38,415.95,3314.4300000000003,415.95
FAC-006615,CLT-0394,SUC-043,2023-01-01,170.92,26.05,144.86999999999998,26.05
FAC-039830,CLT-0032,SUC-022,2023-01-01,2784.29,213.92,2570.37,213.92
FAC-029456,CLT-0039,SUC-009,2023-01-01,497.04,145.86,351.18,145.86
FAC-048463,CLT-0467,SUC-044,2023-01-01,1837.1,268.49,1568.61,268.49
FAC-027109,CLT-0281,SUC-041,2023-01-01,84.74,11.06,73.67999999999999,11.06
FAC-024563,CLT-0384,SUC-017,2023-01-01,5841.85,416.63,5425.22,416.63
FAC-034867,CLT-0009,SUC-037,2023-01-01,1004.04,287.39,716.65,287.39
FAC-046248,CLT-0478,SUC-013,2023-01-01,11632.66,1998.37,9634.29,1998.37
FAC-015288,CLT-0207,SUC-048,2023-01-01,23254.04,7139.31,16114.73,7139.31
FAC-000647,CLT-0196,SUC-045,2023-01-01,109904.93,32395.05,77509.87999999999,32395.05
FAC-036079,CLT-0033,SUC-023,2023-01-01,108848.03,27334.02,81514.01,27334.02
FAC-020747,CLT-0349,SUC-034,2023-01-01,1662.86,293.78,1369.08,293.78
FAC-022314,CLT-0466,SUC-016,2023-01-01,16067.59,2576.31,13491.28,2576.31
FAC-022312,CLT-0314,SUC-015,2023-01-01,103.32,15.27,88.05,15.27
FAC-001818,CLT-0111,SUC-017,2023-01-01,663.41,39.03,624.38,39.03
FAC-005096,CLT-0199,SUC-026,2023-01-01,3191.44,477.09,2714.35,477.09
FAC-032320,CLT-0014,SUC-013,2023-01-01,1728.16,261.65,1466.5100000000002,261.65
FAC-043734,CLT-0381,SUC-009,2023-01-01,5016.07,1569.7,3446.37,1569.7
FAC-010628,CLT-0490,SUC-031,2023-01-01,5722.55,1603.29,4119.26,1603.29
FAC-023504,CLT-0248,SUC-017,2023-01-01,3751.6,282.67,3468.93,282.67
FAC-043100,CLT-0447,SUC-019,2023-01-01,5935.33,674.05,5261.28,674.05
FAC-013062,CLT-0290,SUC-035,2023-01-01,11739.74,2036.5,9703.24,2036.5
FAC-031446,CLT-0496,SUC-021,2023-01-01,469.43,92.19,377.24,92.19
FAC-015854,CLT-0257,SUC-036,2023-01-01,66.83,7.49,59.339999999999996,7.49
FAC-038051,CLT-0036,SUC-013,2023-01-01,208.74,30.46,178.28,30.46
FAC-016967,CLT-0047,SUC-024,2023-01-01,11931.86,1185.69,10746.17,1185.69
FAC-002856,CLT-0124,SUC-039,2023-01-01,20572.37,7119.51,13452.859999999999,7119.51
FAC-018393,CLT-0020,SUC-046,2023-01-01,2637.66,524.43,2113.23,524.43
FAC-049888,CLT-0006,SUC-023,2023-01-01,1208.51,279.59,928.9200000000001,279.59
FAC-042337,CLT-0244,SUC-028,2023-01-01,34232.4,2457.19,31775.210000000003,2457.19
FAC-013247,CLT-0446,SUC-030,2023-01-01,4303.96,838.01,3465.95,838.01
FAC-025663,CLT-0218,SUC-050,2023-01-01,2244.25,677.08,1567.17,677.08
FAC-025301,CLT-0169,SUC-004,2023-01-01,8783.02,496.3,8286.720000000001,496.3
FAC-047309,CLT-0082,SUC-004,2023-01-01,6226.04,434.74,5791.3,434.74
FAC-032561,CLT-0359,SUC-014,2023-01-01,777.09,155.48,621.61,155.48
FAC-047328,CLT-0240,SUC-009,2023-01-01,3191.39,994.22,2197.17,994.22
FAC-011435,CLT-0454,SUC-041,2023-01-01,15700.75,2132.28,13568.47,2132.28
FAC-037837,CLT-0162,SUC-020,2023-01-01,3175.15,285.34,2889.81,285.34
FAC-037855,CLT-0489,SUC-028,2023-01-01,21095.26,1818.36,19276.899999999998,1818.36
FAC-018396,CLT-0473,SUC-049,2023-01-01,1222.32,253.34,968.9799999999999,253.34
FAC-038145,CLT-0333,SUC-009,2023-01-01,2338.53,730.21,1608.3200000000002,730.21
FAC-015382,CLT-0203,SUC-007,2023-01-01,2998.23,844.96,2153.27,844.96
FAC-042012,CLT-0275,SUC-049,2023-01-01,26243.21,5659.41,20583.8,5659.41
FAC-012072,CLT-0290,SUC-050,2023-01-01,3324.21,952.11,2372.1,952.11
FAC-003545,CLT-0066,SUC-004,2023-01-01,2771.31,167.31,2604.0,167.31
FAC-019809,CLT-0500,SUC-048,2023-01-01,24734.31,7502.79,17231.52,7502.79
FAC-032376,CLT-0025,SUC-045,2023-01-01,349.89,106.02,243.87,106.02
FAC-011512,CLT-0236,SUC-009,2023-01-01,6436.96,1870.64,4566.32,1870.64
FAC-005147,CLT-0183,SUC-014,2023-01-01,2379.89,483.34,1896.55,483.34
FAC-049037,CLT-0256,SUC-016,2023-01-01,691.48,93.33,598.15,93.33
FAC-007132,CLT-0147,SUC-006,2023-01-01,8431.81,1153.32,7278.49,1153.32
FAC-047486,CLT-0480,SUC-007,2023-01-01,352.56,98.46,254.10000000000002,98.46
FAC-030247,CLT-0396,SUC-008,2023-01-01,585.48,152.6,432.88,152.6
FAC-021060,CLT-0364,SUC-045,2023-01-01,18269.78,5219.05,13050.73,5219.05
FAC-031338,CLT-0192,SUC-016,2023-01-01,11470.59,1659.48,9811.11,1659.48
FAC-030264,CLT-0253,SUC-049,2023-01-01,245.02,52.26,192.76000000000002,52.26
FAC-044040,CLT-0422,SUC-007,2023-01-01,7684.13,2231.48,5452.65,2231.48
FAC-007773,CLT-0359,SUC-024,2023-01-01,5029.99,485.21,4544.78,485.21
FAC-048875,CLT-0368,SUC-033,2023-01-01,4798.88,1418.04,3380.84,1418.04
FAC-003116,CLT-0319,SUC-047,2023-01-01,3400.65,842.63,2558.02,842.63
FAC-007995,CLT-0252,SUC-010,2023-01-01,2546.2,198.18,2348.02,198.18
FAC-026027,CLT-0161,SUC-044,2023-01-01,7609.19,1043.24,6565.95,1043.24
FAC-016869,CLT-0280,SUC-020,2023-01-01,2007.81,184.82,1822.99,184.82
FAC-015844,CLT-0286,SUC-002,2023-01-01,4535.69,285.64,4250.049999999999,285.64
FAC-033151,CLT-0471,SUC-033,2023-01-01,2980.79,916.04,2064.75,916.04
FAC-023841,CLT-0405,SUC-008,2023-01-01,15179.01,3666.95,11512.060000000001,3666.95
FAC-037915,CLT-0230,SUC-030,2023-01-01,3765.89,756.52,3009.37,756.52
FAC-016554,CLT-0356,SUC-013,2023-01-02,6556.88,888.06,5668.82,888.06
FAC-003947,CLT-0473,SUC-039,2023-01-02,1861.86,642.28,1219.58,642.28
FAC-016564,CLT-0186,SUC-026,2023-01-02,1212.07,172.27,1039.8,172.27
FAC-007663,CLT-0262,SUC-017,2023-01-02,5130.4,322.95,4807.45,322.95
FAC-033619,CLT-0137,SUC-027,2023-01-02,2977.19,202.5,2774.69,202.5
FAC-034980,CLT-0267,SUC-021,2023-01-02,4538.39,983.14,3555.2500000000005,983.14
FAC-049518,CLT-0379,SUC-020,2023-01-02,85672.97,7218.74,78454.23,7218.74
FAC-042816,CLT-0108,SUC-021,2023-01-02,19165.91,4220.82,14945.09,4220.82
FAC-035309,CLT-0004,SUC-050,2023-01-02,635.98,172.02,463.96000000000004,172.02
FAC-042921,CLT-0308,SUC-027,2023-01-02,393.87,29.39,364.48,29.39
FAC-007924,CLT-0078,SUC-039,2023-01-02,688.64,248.9,439.74,248.9
FAC-028350,CLT-0373,SUC-050,2023-01-02,2214.32,649.39,1564.9300000000003,649.39
FAC-023634,CLT-0208,SUC-027,2023-01-02,48568.64,3401.64,45167.0,3401.64
FAC-043099,CLT-0090,SUC-048,2023-01-02,1666.82,534.48,1132.34,534.48
FAC-040730,CLT-0157,SUC-029,2023-01-02,530.55,47.87,482.67999999999995,47.87
FAC-049501,CLT-0219,SUC-028,2023-01-02,17543.19,1860.27,15682.919999999998,1860.27
FAC-014962,CLT-0167,SUC-027,2023-01-02,833.14,65.75,767.39,65.75
FAC-042607,CLT-0114,SUC-030,2023-01-02,982.84,192.87,789.97,192.87
FAC-031945,CLT-0485,SUC-015,2023-01-02,743.28,133.37,609.91,133.37
FAC-035141,CLT-0044,SUC-013,2023-01-02,4305.2,706.01,3599.1899999999996,706.01
FAC-045119,CLT-0494,SUC-005,2023-01-02,1174.68,301.29,873.3900000000001,301.29
FAC-014113,CLT-0174,SUC-013,2023-01-02,11913.24,1902.22,10011.02,1902.22
FAC-028941,CLT-0101,SUC-011,2023-01-02,207.86,37.03,170.83,37.03
FAC-032303,CLT-0265,SUC-050,2023-01-02,21689.14,6527.06,15162.079999999998,6527.06
FAC-021492,CLT-0384,SUC-038,2023-01-02,7384.97,607.49,6777.4800000000005,607.49
FAC-017733,CLT-0314,SUC-020,2023-01-02,4702.56,508.67,4193.89,508.67
FAC-023033,CLT-0199,SUC-024,2023-01-02,5874.43,658.23,5216.200000000001,658.23
FAC-009043,CLT-0209,SUC-045,2023-01-02,803.67,233.11,570.56,233.11
FAC-033150,CLT-0359,SUC-016,2023-01-02,2769.18,433.95,2335.23,433.95
FAC-006847,CLT-0192,SUC-038,2023-01-02,2373.03,191.53,2181.5,191.53
FAC-023846,CLT-0128,SUC-031,2023-01-02,208.03,66.31,141.72,66.31
FAC-033207,CLT-0053,SUC-019,2023-01-02,19721.59,2191.25,17530.34,2191.25
FAC-002596,CLT-0324,SUC-017,2023-01-02,10858.73,854.25,10004.48,854.25
FAC-043895,CLT-0482,SUC-033,2023-01-02,456.9,135.17,321.73,135.17
FAC-033318,CLT-0167,SUC-017,2023-01-02,2461.75,143.61,2318.14,143.61
FAC-008441,CLT-0229,SUC-048,2023-01-02,159.85,48.31,111.53999999999999,48.31
FAC-044034,CLT-0468,SUC-041,2023-01-02,5092.66,796.43,4296.23,796.43
FAC-044270,CLT-0455,SUC-016,2023-01-02,17289.46,2665.72,14623.74,2665.72
FAC-033484,CLT-0296,SUC-001,2023-01-02,470.15,124.36,345.78999999999996,124.36
FAC-002476,CLT-0095,SUC-005,2023-01-02,937.84,273.11,664.73,273.11
FAC-020159,CLT-0078,SUC-048,2023-01-02,4610.19,1477.85,3132.3399999999997,1477.85
FAC-003602,CLT-0246,SUC-034,2023-01-02,9795.62,1686.48,8109.140000000001,1686.48
FAC-003537,CLT-0165,SUC-001,2023-01-02,1295.8,344.39,951.41,344.39
FAC-003594,CLT-0150,SUC-011,2023-01-02,4561.52,821.49,3740.0300000000007,821.49
FAC-003482,CLT-0252,SUC-034,2023-01-02,40054.0,6073.15,33980.85,6073.15
FAC-042507,CLT-0011,SUC-033,2023-01-02,2433.24,745.54,1687.6999999999998,745.54
FAC-013038,CLT-0122,SUC-022,2023-01-02,244.66,15.38,229.28,15.38
FAC-034241,CLT-0189,SUC-044,2023-01-02,8335.85,1197.79,7138.06,1197.79
FAC-014558,CLT-0106,SUC-034,2023-01-02,24799.72,3895.68,20904.04,3895.68
FAC-014144,CLT-0442,SUC-021,2023-01-02,1088.27,209.39,878.88,209.39
FAC-024169,CLT-0062,SUC-008,2023-01-02,422.53,104.38,318.15,104.38
FAC-016633,CLT-0038,SUC-031,2023-01-02,2484.77,754.13,1730.6399999999999,754.13
FAC-041677,CLT-0037,SUC-043,2023-01-02,2836.91,432.46,2404.45,432.46
FAC-014547,CLT-0207,SUC-009,2023-01-02,10732.42,3090.14,7642.280000000001,3090.14
FAC-013094,CLT-0145,SUC-019,2023-01-02,2458.56,272.46,2186.1,272.46
FAC-006828,CLT-0476,SUC-032,2023-01-02,187.23,32.74,154.48999999999998,32.74
FAC-000617,CLT-0372,SUC-005,2023-01-02,961.25,277.77,683.48,277.77
FAC-041183,CLT-0362,SUC-017,2023-01-02,1943.19,167.74,1775.45,167.74
FAC-011576,CLT-0103,SUC-043,2023-01-02,82.04,12.21,69.83000000000001,12.21
FAC-003297,CLT-0371,SUC-015,2023-01-02,1707.73,284.07,1423.66,284.07
FAC-031056,CLT-0364,SUC-015,2023-01-02,6067.33,1027.14,5040.19,1027.14
FAC-049282,CLT-0344,SUC-001,2023-01-02,121.24,31.88,89.36,31.88
FAC-023408,CLT-0416,SUC-017,2023-01-02,1860.36,150.09,1710.27,150.09
FAC-016965,CLT-0476,SUC-008,2023-01-02,14825.28,3432.33,11392.95,3432.33
FAC-002256,CLT-0476,SUC-033,2023-01-02,23230.99,6812.34,16418.65,6812.34
FAC-000221,CLT-0246,SUC-024,2023-01-02,2775.31,270.06,2505.25,270.06
FAC-031926,CLT-0340,SUC-014,2023-01-02,4422.47,947.24,3475.2300000000005,947.24
FAC-046901,CLT-0311,SUC-035,2023-01-02,1655.56,246.92,1408.6399999999999,246.92
FAC-046873,CLT-0267,SUC-022,2023-01-02,4581.53,281.11,4300.42,281.11
FAC-018015,CLT-0084,SUC-045,2023-01-02,9583.24,2856.78,6726.459999999999,2856.78
FAC-036813,CLT-0223,SUC-011,2023-01-02,2696.32,444.24,2252.08,444.24
FAC-039485,CLT-0404,SUC-001,2023-01-02,10094.28,2563.36,7530.92,2563.36
FAC-046831,CLT-0286,SUC-006,2023-01-02,1076.61,130.29,946.3199999999999,130.29
FAC-014871,CLT-0236,SUC-044,2023-01-02,1103.3,126.58,976.7199999999999,126.58
FAC-018647,CLT-0415,SUC-042,2023-01-02,21283.17,1573.9,19709.269999999997,1573.9
FAC-018649,CLT-0087,SUC-008,2023-01-02,581.92,133.99,447.92999999999995,133.99
FAC-025284,CLT-0066,SUC-031,2023-01-02,1914.45,598.63,1315.8200000000002,598.63
FAC-011037,CLT-0173,SUC-029,2023-01-02,747.7,82.33,665.37,82.33
FAC-020873,CLT-0008,SUC-007,2023-01-02,12738.4,3770.92,8967.48,3770.92
FAC-005776,CLT-0341,SUC-019,2023-01-02,5076.52,462.12,4614.400000000001,462.12
FAC-036473,CLT-0225,SUC-015,2023-01-02,3111.68,443.04,2668.64,443.04
FAC-010034,CLT-0216,SUC-009,2023-01-02,1431.12,403.2,1027.9199999999998,403.2
FAC-036370,CLT-0122,SUC-038,2023-01-02,5032.98,537.67,4495.3099999999995,537.67
FAC-005858,CLT-0321,SUC-008,2023-01-02,11017.01,2573.77,8443.24,2573.77
FAC-036278,CLT-0011,SUC-014,2023-01-02,3151.42,671.6,2479.82,671.6
FAC-016133,CLT-0280,SUC-007,2023-01-02,651.38,202.02,449.36,202.02
FAC-049707,CLT-0203,SUC-040,2023-01-02,1687.41,105.89,1581.52,105.89
FAC-018601,CLT-0279,SUC-041,2023-01-02,41751.45,6437.05,35314.399999999994,6437.05
FAC-000819,CLT-0438,SUC-049,2023-01-02,52378.39,10342.44,42035.95,10342.44
FAC-037014,CLT-0200,SUC-015,2023-01-02,29830.02,4834.03,24995.99,4834.03
FAC-025706,CLT-0097,SUC-016,2023-01-02,3158.73,485.28,2673.45,485.28
FAC-037601,CLT-0406,SUC-042,2023-01-02,142.07,11.02,131.04999999999998,11.02
FAC-004756,CLT-0047,SUC-044,2023-01-02,4505.76,630.67,3875.09,630.67
FAC-024745,CLT-0007,SUC-009,2023-01-02,16159.19,4752.53,11406.66,4752.53
FAC-038939,CLT-0246,SUC-012,2023-01-02,21363.65,2981.01,18382.64,2981.01
FAC-025616,CLT-0385,SUC-043,2023-01-02,2071.2,276.18,1795.0199999999998,276.18
FAC-038622,CLT-0185,SUC-043,2023-01-02,4097.11,473.5,3623.6099999999997,473.5
FAC-025510,CLT-0429,SUC-032,2023-01-02,1483.39,202.12,1281.27,202.12
FAC-024710,CLT-0337,SUC-012,2023-01-02,26028.97,3472.72,22556.25,3472.72
FAC-021088,CLT-0034,SUC-047,2023-01-02,10890.39,2779.04,8111.349999999999,2779.04
FAC-022271,CLT-0474,SUC-034,2023-01-02,10517.23,1863.62,8653.61,1863.62
FAC-013962,CLT-0228,SUC-020,2023-01-02,14820.5,1286.96,13533.54,1286.96
FAC-046938,CLT-0122,SUC-004,2023-01-02,824.78,66.26,758.52,66.26
FAC-026298,CLT-0303,SUC-004,2023-01-02,1911.65,114.61,1797.0400000000002,114.61
FAC-004895,CLT-0152,SUC-019,2023-01-02,3394.58,424.17,2970.41,424.17
FAC-039222,CLT-0293,SUC-009,2023-01-02,7054.93,2110.59,4944.34,2110.59
FAC-038494,CLT-0374,SUC-019,2023-01-02,16940.73,1614.16,15326.57,1614.16
FAC-039284,CLT-0192,SUC-028,2023-01-02,2386.68,211.03,2175.6499999999996,211.03
FAC-047532,CLT-0080,SUC-037,2023-01-02,4665.67,1272.48,3393.19,1272.48
FAC-005956,CLT-0306,SUC-038,2023-01-02,750.04,68.31,681.73,68.31
FAC-009885,CLT-0491,SUC-013,2023-01-02,1175.13,201.25,973.8800000000001,201.25
FAC-048083,CLT-0235,SUC-023,2023-01-02,532.65,125.58,407.07,125.58
FAC-028083,CLT-0184,SUC-026,2023-01-02,10387.97,1556.72,8831.25,1556.72
FAC-035921,CLT-0105,SUC-010,2023-01-02,2150.5,106.31,2044.19,106.31
FAC-049544,CLT-0022,SUC-043,2023-01-02,7752.44,1060.61,6691.83,1060.61
FAC-011898,CLT-0200,SUC-048,2023-01-02,475.11,140.67,334.44000000000005,140.67
FAC-040289,CLT-0185,SUC-019,2023-01-02,572.52,58.51,514.01,58.51
FAC-045962,CLT-0029,SUC-044,2023-01-02,6441.96,767.7,5674.26,767.7
FAC-035659,CLT-0006,SUC-042,2023-01-02,88231.32,4809.92,83421.40000000001,4809.92
FAC-027331,CLT-0009,SUC-046,2023-01-03,855.9,163.41,692.49,163.41
FAC-016002,CLT-0463,SUC-027,2023-01-03,6794.34,526.3,6268.04,526.3
FAC-045378,CLT-0218,SUC-016,2023-01-03,14000.41,1856.55,12143.86,1856.55
FAC-008620,CLT-0331,SUC-018,2023-01-03,240017.3,35220.9,204796.4,35220.9
FAC-037073,CLT-0321,SUC-035,2023-01-03,572.78,89.82,482.96,89.82
FAC-045866,CLT-0415,SUC-017,2023-01-03,5300.52,316.15,4984.370000000001,316.15
FAC-041776,CLT-0160,SUC-047,2023-01-03,3790.99,883.05,2907.9399999999996,883.05
FAC-038026,CLT-0299,SUC-046,2023-01-03,1611.55,324.71,1286.84,324.71
FAC-045477,CLT-0058,SUC-044,2023-01-03,6762.93,791.25,5971.68,791.25
FAC-041855,CLT-0031,SUC-007,2023-01-03,1866.15,572.31,1293.8400000000001,572.31
FAC-017813,CLT-0216,SUC-008,2023-01-03,93293.12,21477.89,71815.23,21477.89
FAC-013967,CLT-0211,SUC-015,2023-01-03,3276.52,552.75,2723.77,552.75
FAC-037046,CLT-0414,SUC-008,2023-01-03,3981.42,987.38,2994.04,987.38
FAC-045891,CLT-0442,SUC-014,2023-01-03,7874.94,1751.91,6123.03,1751.91
FAC-039226,CLT-0319,SUC-012,2023-01-03,601.53,78.28,523.25,78.28
FAC-037036,CLT-0498,SUC-023,2023-01-03,2729.04,704.33,2024.71,704.33
FAC-028713,CLT-0263,SUC-021,2023-01-03,600.89,132.11,468.78,132.11
FAC-022061,CLT-0340,SUC-027,2023-01-03,2742.23,115.68,2626.55,115.68
FAC-009324,CLT-0123,SUC-028,2023-01-03,5904.94,544.0,5360.94,544.0
FAC-021714,CLT-0373,SUC-048,2023-01-03,10444.78,3302.92,7141.860000000001,3302.92
FAC-019698,CLT-0255,SUC-016,2023-01-03,1108.44,171.9,936.5400000000001,171.9
FAC-018298,CLT-0277,SUC-039,2023-01-03,3239.88,1085.36,2154.5200000000004,1085.36
FAC-010914,CLT-0323,SUC-008,2023-01-03,6698.79,1683.38,5015.41,1683.38
FAC-040441,CLT-0490,SUC-008,2023-01-03,9526.64,2337.48,7189.16,2337.48
FAC-036941,CLT-0144,SUC-025,2023-01-03,543.61,92.34,451.27,92.34
FAC-036852,CLT-0239,SUC-028,2023-01-03,20943.52,1522.42,19421.1,1522.42
FAC-028612,CLT-0147,SUC-030,2023-01-03,3500.12,595.66,2904.46,595.66
FAC-010419,CLT-0203,SUC-002,2023-01-03,4386.98,224.81,4162.169999999999,224.81
FAC-041864,CLT-0425,SUC-009,2023-01-03,7349.66,2286.01,5063.65,2286.01
FAC-044325,CLT-0194,SUC-021,2023-01-03,1094.13,212.98,881.1500000000001,212.98
FAC-049088,CLT-0480,SUC-013,2023-01-03,38059.91,6055.88,32004.030000000002,6055.88
FAC-013859,CLT-0299,SUC-003,2023-01-03,3335.94,615.66,2720.28,615.66
FAC-012527,CLT-0412,SUC-035,2023-01-03,2906.96,513.98,2392.98,513.98
FAC-025883,CLT-0050,SUC-008,2023-01-03,4072.29,1071.23,3001.06,1071.23
FAC-005331,CLT-0010,SUC-034,2023-01-03,10483.55,1918.27,8565.279999999999,1918.27
FAC-024483,CLT-0324,SUC-018,2023-01-03,412.07,65.97,346.1,65.97
FAC-005258,CLT-0293,SUC-028,2023-01-03,1391.88,132.77,1259.1100000000001,132.77
FAC-048811,CLT-0137,SUC-036,2023-01-03,43841.96,6147.93,37694.03,6147.93
FAC-030885,CLT-0327,SUC-018,2023-01-03,1393.58,225.78,1167.8,225.78
FAC-032484,CLT-0410,SUC-024,2023-01-03,3693.53,339.15,3354.38,339.15
FAC-003332,CLT-0401,SUC-033,2023-01-03,2302.31,701.53,1600.78,701.53
FAC-025900,CLT-0424,SUC-042,2023-01-03,3000.24,234.97,2765.27,234.97
FAC-030701,CLT-0251,SUC-010,2023-01-03,1614.25,96.8,1517.45,96.8
FAC-043727,CLT-0095,SUC-030,2023-01-03,645.15,108.55,536.6,108.55
FAC-021926,CLT-0431,SUC-042,2023-01-03,751.8,53.23,698.5699999999999,53.23
FAC-047102,CLT-0338,SUC-036,2023-01-03,894.67,119.46,775.2099999999999,119.46
FAC-030617,CLT-0013,SUC-003,2023-01-03,3388.58,656.36,2732.22,656.36
FAC-047080,CLT-0228,SUC-010,2023-01-03,9637.96,547.02,9090.939999999999,547.02
