id_cliente,segmento_comercial
5265,Maestro Mayor
5266,Maestro Mayor
5267,Maestro Mayor
5268,Maestro Mayor
5269,Contratista Pyme
5270,Contratista Pyme
5271,Maestro Mayor
5272,Maestro Mayor
5273,Maestro Mayor
5274,Maestro Mayor
5275,Maestro Mayor
5276,Maestro Mayor
5277,Maestro Mayor
5278,Maestro Mayor
5279,Maestro Mayor
5280,Maestro Mayor
5281,Maestro Mayor
5282,Contratista Pyme
5283,Contratista Pyme
5284,Gran Constructora
5285,Maestro Mayor
5286,Gran Constructora
5287,Contratista Pyme
5288,Maestro Mayor
5289,Contratista Pyme
5290,Maestro Mayor
5291,Gran Constructora
5292,Gran Constructora
5293,Maestro Mayor
5294,Contratista Pyme
5295,Contratista Pyme
5296,Maestro Mayor
5297,Maestro Mayor
5298,Contratista Pyme
5299,Maestro Mayor
5300,Gran Constructora
5301,Gran Constructora
5302,Maestro Mayor
5303,Maestro Mayor
5304,Maestro Mayor
5305,Maestro Mayor
5306,Maestro Mayor
5307,Maestro Mayor
5308,Contratista Pyme
5309,Maestro Mayor
5310,Contratista Pyme
5311,Contratista Pyme
5312,Gran Constructora
5313,Gran Constructora
5314,Maestro Mayor
5315,Maestro Mayor
5316,Maestro Mayor
5317,Contratista Pyme
5318,Contratista Pyme
5319,Contratista Pyme
5320,Contratista Pyme
5321,Maestro Mayor
5322,Maestro Mayor
5323,Maestro Mayor
5324,Contratista Pyme
5325,Maestro Mayor
5326,Maestro Mayor
5327,Maestro Mayor
5328,Maestro Mayor
5329,Contratista Pyme
5330,Contratista Pyme
5331,Contratista Pyme
5332,Maestro Mayor
5333,Gran Constructora
5334,Contratista Pyme
5335,Gran Constructora
5336,Gran Constructora
5337,Maestro Mayor
5338,Maestro Mayor
5339,Contratista Pyme
5340,Gran Constructora
5341,Contratista Pyme
5342,Contratista Pyme
5343,Contratista Pyme
5344,Contratista Pyme
5345,Contratista Pyme
5346,Maestro Mayor
5347,Maestro Mayor
5348,Gran Constructora
5349,Contratista Pyme
5350,Maestro Mayor
5351,Maestro Mayor
5352,Maestro Mayor
5353,Maestro Mayor
5354,Contratista Pyme
5355,Gran Constructora
5356,Maestro Mayor
5357,Gran Constructora
5358,Maestro Mayor
5359,Maestro Mayor
5360,Maestro Mayor
5361,Contratista Pyme
5362,Maestro Mayor
5363,Contratista Pyme
5364,Maestro Mayor
5365,Maestro Mayor
5366,Contratista Pyme
5367,Maestro Mayor
5368,Maestro Mayor
5369,Contratista Pyme
5370,Gran Constructora
5371,Contratista Pyme
5372,Gran Constructora
5373,Gran Constructora
5374,Maestro Mayor
5375,Gran Constructora
5376,Contratista Pyme
5377,Maestro Mayor
5378,Gran Constructora
5379,Maestro Mayor
5380,Contratista Pyme
5381,Contratista Pyme
5382,Maestro Mayor
5383,Maestro Mayor
5384,Maestro Mayor
5385,Maestro Mayor
5386,Maestro Mayor
5387,Contratista Pyme
5388,Contratista Pyme
5389,Maestro Mayor
5390,Maestro Mayor
5391,Maestro Mayor
5392,Contratista Pyme
5393,Contratista Pyme
5394,Maestro Mayor
5395,Contratista Pyme
5396,Maestro Mayor
5397,Maestro Mayor
5398,Contratista Pyme
5399,Maestro Mayor
5400,Maestro Mayor
5401,Contratista Pyme
5402,Maestro Mayor
5403,Maestro Mayor
5404,Maestro Mayor
5405,Contratista Pyme
5406,Maestro Mayor
5407,Contratista Pyme
5408,Gran Constructora
5409,Maestro Mayor
5410,Gran Constructora
5411,Contratista Pyme
5412,Maestro Mayor
5413,Maestro Mayor
5414,Maestro Mayor
5415,Maestro Mayor
5416,Contratista Pyme
5417,Contratista Pyme
5418,Contratista Pyme
5419,Maestro Mayor
5420,Maestro Mayor
5421,Maestro Mayor
5422,Maestro Mayor
5423,Gran Constructora
5424,Contratista Pyme
5425,Gran Constructora
5426,Maestro Mayor
5427,Contratista Pyme
5428,Maestro Mayor
5429,Contratista Pyme
5430,Contratista Pyme
5431,Contratista Pyme
5432,Maestro Mayor
5433,Maestro Mayor
5434,Contratista Pyme
5435,Gran Constructora
5436,Maestro Mayor
5437,Gran Constructora
5438,Maestro Mayor
5439,Maestro Mayor
5440,Gran Constructora
5441,Gran Constructora
5442,Maestro Mayor
5443,Contratista Pyme
5444,Contratista Pyme
5445,Maestro Mayor
5446,Maestro Mayor
5447,Maestro Mayor
5448,Maestro Mayor
5449,Contratista Pyme
5450,Gran Constructora
5451,Maestro Mayor
5452,Maestro Mayor
5453,Contratista Pyme
5454,Maestro Mayor
5455,Contratista Pyme
5456,Contratista Pyme
5457,Gran Constructora
5458,Contratista Pyme
5459,Gran Constructora
5460,Contratista Pyme
5461,Contratista Pyme
5462,Maestro Mayor
5463,Maestro Mayor
5464,Maestro Mayor
5465,Maestro Mayor
5466,Contratista Pyme
5467,Contratista Pyme
5468,Maestro Mayor
5469,Contratista Pyme
5470,Maestro Mayor
5471,Gran Constructora
5472,Maestro Mayor
5473,Gran Constructora
5474,Maestro Mayor
5475,Maestro Mayor
5476,Maestro Mayor
5477,Gran Constructora
5478,Maestro Mayor
5479,Maestro Mayor
5480,Maestro Mayor
5481,Maestro Mayor
5482,Maestro Mayor
5483,Contratista Pyme
5484,Maestro Mayor
5485,Maestro Mayor
5486,Maestro Mayor
5487,Gran Constructora
5488,Contratista Pyme
5489,Maestro Mayor
5490,Maestro Mayor
5491,Contratista Pyme
5492,Maestro Mayor
5493,Contratista Pyme
5494,Contratista Pyme
5495,Contratista Pyme
5496,Contratista Pyme
5497,Maestro Mayor
5498,Gran Constructora
5499,Maestro Mayor
5500,Maestro Mayor
5501,Maestro Mayor
5502,Maestro Mayor
5503,Contratista Pyme
5504,Maestro Mayor
5505,Maestro Mayor
5506,Contratista Pyme
5507,Maestro Mayor
5508,Maestro Mayor
5509,Maestro Mayor
5510,Maestro Mayor
5511,Maestro Mayor
5512,Contratista Pyme
5513,Maestro Mayor
5514,Maestro Mayor
5515,Gran Constructora
5516,Gran Constructora
5517,Contratista Pyme
5518,Maestro Mayor
5519,Maestro Mayor
5520,Contratista Pyme
5521,Maestro Mayor
5522,Contratista Pyme
5523,Maestro Mayor
5524,Maestro Mayor
5525,Maestro Mayor
5526,Contratista Pyme
5527,Contratista Pyme
5528,Contratista Pyme
5529,Gran Constructora
5530,Maestro Mayor
5531,Maestro Mayor
5532,Maestro Mayor
5533,Maestro Mayor
5534,Maestro Mayor
5535,Maestro Mayor
5536,Maestro Mayor
5537,Maestro Mayor
5538,Contratista Pyme
5539,Contratista Pyme
5540,Contratista Pyme
5541,Maestro Mayor
5542,Maestro Mayor
5543,Contratista Pyme
5544,Maestro Mayor
5545,Maestro Mayor
5546,Contratista Pyme
5547,Contratista Pyme
5548,Maestro Mayor
5549,Maestro Mayor
5550,Maestro Mayor
5551,Maestro Mayor
5552,Maestro Mayor
5553,Maestro Mayor
5554,Maestro Mayor
5555,Maestro Mayor
5556,Contratista Pyme
5557,Contratista Pyme
5558,Gran Constructora
5559,Maestro Mayor
5560,Maestro Mayor
5561,Maestro Mayor
5562,Contratista Pyme
5563,Contratista Pyme
5564,Gran Constructora
5565,Contratista Pyme
5566,Maestro Mayor
5567,Contratista Pyme
5568,Contratista Pyme
5569,Maestro Mayor
5570,Contratista Pyme
5571,Maestro Mayor
5572,Maestro Mayor
5573,Contratista Pyme
5574,Maestro Mayor
5575,Maestro Mayor
5576,Maestro Mayor
5577,Contratista Pyme
5578,Maestro Mayor
5579,Contratista Pyme
5580,Contratista Pyme
5581,Contratista Pyme
5582,Maestro Mayor
5583,Contratista Pyme
5584,Contratista Pyme
5585,Maestro Mayor
5586,Contratista Pyme
5587,Gran Constructora
5588,Contratista Pyme
5589,Contratista Pyme
5590,Contratista Pyme
5591,Contratista Pyme
5592,Maestro Mayor
5593,Contratista Pyme
5594,Contratista Pyme
5595,Maestro Mayor
5596,Contratista Pyme
5597,Maestro Mayor
5598,Contratista Pyme
5599,Contratista Pyme
5600,Gran Constructora
5601,Contratista Pyme
5602,Contratista Pyme
5603,Contratista Pyme
5604,Gran Constructora
5605,Contratista Pyme
5606,Contratista Pyme
5607,Contratista Pyme
5608,Contratista Pyme
5609,Maestro Mayor
5610,Maestro Mayor
5611,Gran Constructora
5612,Maestro Mayor
5613,Maestro Mayor
5614,Gran Constructora
5615,Maestro Mayor
5616,Maestro Mayor
5617,Gran Constructora
5618,Contratista Pyme
5619,Maestro Mayor
5620,Maestro Mayor
5621,Contratista Pyme
5622,Contratista Pyme
5623,Contratista Pyme
5624,Contratista Pyme
5625,Maestro Mayor
5626,Contratista Pyme
5627,Contratista Pyme
5628,Maestro Mayor
5629,Gran Constructora
5630,Contratista Pyme
5631,Maestro Mayor
5632,Maestro Mayor
5633,Maestro Mayor
5634,Maestro Mayor
5635,Contratista Pyme
5636,Contratista Pyme
5637,Maestro Mayor
5638,Contratista Pyme
5639,Contratista Pyme
5640,Contratista Pyme
5641,Gran Constructora
5642,Contratista Pyme
5643,Contratista Pyme
5644,Contratista Pyme
5645,Contratista Pyme
5646,Maestro Mayor
5647,Maestro Mayor
5648,Maestro Mayor
5649,Maestro Mayor
5650,Contratista Pyme
5651,Gran Constructora
5652,Maestro Mayor
5653,Maestro Mayor
5654,Maestro Mayor
5655,Contratista Pyme
5656,Contratista Pyme
5657,Contratista Pyme
5658,Contratista Pyme
5659,Maestro Mayor
5660,Maestro Mayor
5661,Contratista Pyme
5662,Maestro Mayor
5663,Maestro Mayor
5664,Contratista Pyme
5665,Contratista Pyme
5666,Contratista Pyme
5667,Contratista Pyme
5668,Contratista Pyme
5669,Contratista Pyme
5670,Contratista Pyme
5671,Contratista Pyme
5672,Maestro Mayor
5673,Gran Constructora
5674,Maestro Mayor
5675,Contratista Pyme
5676,Maestro Mayor
5677,Contratista Pyme
5678,Contratista Pyme
5679,Maestro Mayor
5680,Maestro Mayor
5681,Maestro Mayor
5682,Contratista Pyme
5683,Contratista Pyme
5684,Maestro Mayor
5685,Maestro Mayor
5686,Maestro Mayor
5687,Maestro Mayor
5688,Contratista Pyme
5689,Maestro Mayor
5690,Contratista Pyme
5691,Contratista Pyme
5692,Contratista Pyme
5693,Maestro Mayor
5694,Contratista Pyme
5695,Contratista Pyme
5696,Maestro Mayor
5697,Contratista Pyme
5698,Maestro Mayor
5699,Contratista Pyme
5700,Contratista Pyme
5701,Maestro Mayor
5702,Gran Constructora
5703,Contratista Pyme
5704,Contratista Pyme
5705,Gran Constructora
5706,Maestro Mayor
5707,Contratista Pyme
5708,Maestro Mayor
5709,Contratista Pyme
5710,Maestro Mayor
5711,Maestro Mayor
5712,Maestro Mayor
5713,Contratista Pyme
5714,Contratista Pyme
5715,Contratista Pyme
5716,Maestro Mayor
5717,Maestro Mayor
5718,Maestro Mayor
5719,Contratista Pyme
5720,Maestro Mayor
5721,Maestro Mayor
5722,Contratista Pyme
5723,Gran Constructora
5724,Maestro Mayor
5725,Maestro Mayor
5726,Maestro Mayor
5727,Contratista Pyme
5728,Maestro Mayor
5729,Contratista Pyme
5730,Contratista Pyme
5731,Contratista Pyme
5732,Maestro Mayor
5733,Maestro Mayor
5734,Maestro Mayor
5735,Contratista Pyme
5736,Maestro Mayor
5737,Contratista Pyme
5738,Maestro Mayor
5739,Contratista Pyme
5740,Contratista Pyme
5741,Contratista Pyme
5742,Contratista Pyme
5743,Maestro Mayor
5744,Maestro Mayor
5745,Contratista Pyme
5746,Maestro Mayor
5747,Contratista Pyme
5748,Maestro Mayor
5749,Maestro Mayor
5750,Maestro Mayor
5751,Contratista Pyme
5752,Maestro Mayor
5753,Maestro Mayor
5754,Contratista Pyme
5755,Contratista Pyme
5756,Maestro Mayor
5757,Maestro Mayor
5758,Maestro Mayor
5759,Maestro Mayor
5760,Maestro Mayor
5761,Contratista Pyme
5762,Contratista Pyme
5763,Contratista Pyme
5764,Maestro Mayor
5765,Gran Constructora
5766,Maestro Mayor
5767,Maestro Mayor
5768,Maestro Mayor
5769,Contratista Pyme
5770,Maestro Mayor
5771,Contratista Pyme
5772,Maestro Mayor
5773,Contratista Pyme
5774,Contratista Pyme
5775,Maestro Mayor
5776,Contratista Pyme
5777,Contratista Pyme
5778,Maestro Mayor
5779,Maestro Mayor
5780,Maestro Mayor
5781,Maestro Mayor
5782,Maestro Mayor
5783,Contratista Pyme
5784,Contratista Pyme
5785,Contratista Pyme
5786,Maestro Mayor
5787,Maestro Mayor
5788,Contratista Pyme
5789,Contratista Pyme
5790,Maestro Mayor
5791,Contratista Pyme
5792,Maestro Mayor
5793,Maestro Mayor
5794,Maestro Mayor
5795,Gran Constructora
5796,Maestro Mayor
5797,Maestro Mayor
5798,Maestro Mayor
5799,Maestro Mayor
5800,Maestro Mayor
